Simulation time,plant,
0.010000,510.010006,
0.020000,510.020021,
0.030000,510.030046,
0.040000,510.040081,
0.050000,510.050126,
0.060000,510.060181,
0.070000,510.070246,
0.080000,510.080321,
0.090000,510.090407,
0.100000,510.100502,
0.110000,510.110608,
0.120000,510.120724,
0.130000,510.130850,
0.140000,510.140987,
0.150000,510.151134,
0.160000,510.161291,
0.170000,510.171459,
0.180000,510.181637,
0.190000,510.191825,
0.200000,510.202023,
0.210000,510.212232,
0.220000,510.222451,
0.230000,510.232680,
0.240000,510.242920,
0.250000,510.253170,
0.260000,510.263430,
0.270000,510.273701,
0.280000,510.283982,
0.290000,510.294273,
0.300000,510.304575,
0.310000,510.314886,
0.320000,510.325208,
0.330000,510.335541,
0.340000,510.345883,
0.350000,510.356236,
0.360000,510.366600,
0.370000,510.376973,
0.380000,510.387357,
0.390000,510.397751,
0.400000,510.408156,
0.410000,510.418571,
0.420000,510.428996,
0.430000,510.439431,
0.440000,510.449877,
0.450000,510.460333,
0.460000,510.470799,
0.470000,510.481276,
0.480000,510.491763,
0.490000,510.502260,
0.500000,510.512768,
0.510000,510.523286,
0.520000,510.533814,
0.530000,510.544353,
0.540000,510.554903,
0.550000,510.565463,
0.560000,510.576034,
0.570000,510.586615,
0.580000,510.597207,
0.590000,510.607810,
0.600000,510.618423,
0.610000,510.629047,
0.620000,510.639681,
0.630000,510.650326,
0.640000,510.660982,
0.650000,510.671648,
0.660000,510.682326,
0.670000,510.693013,
0.680000,510.703712,
0.690000,510.714421,
0.700000,510.725141,
0.710000,510.735871,
0.720000,510.746613,
0.730000,510.757365,
0.740000,510.768128,
0.750000,510.778901,
0.760000,510.789686,
0.770000,510.800481,
0.780000,510.811287,
0.790000,510.822104,
0.800000,510.832931,
0.810000,510.843770,
0.820000,510.854619,
0.830000,510.865479,
0.840000,510.876351,
0.850000,510.887232,
0.860000,510.898125,
0.870000,510.909029,
0.880000,510.919944,
0.890000,510.930869,
0.900000,510.941806,
0.910000,510.952753,
0.920000,510.963711,
0.930000,510.974681,
0.940000,510.985661,
0.950000,510.996652,
0.960000,511.007655,
0.970000,511.018668,
0.980000,511.029692,
0.990000,511.040728,
1.000000,511.051774,
1.010000,511.062831,
1.020000,511.073900,
1.030000,511.084979,
1.040000,511.096070,
1.050000,511.107172,
1.060000,511.118285,
1.070000,511.129409,
1.080000,511.140544,
1.090000,511.151690,
1.100000,511.162847,
1.110000,511.174015,
1.120000,511.185195,
1.130000,511.196386,
1.140000,511.207588,
1.150000,511.218801,
1.160000,511.230025,
1.170000,511.241261,
1.180000,511.252508,
1.190000,511.263766,
1.200000,511.275036,
1.210000,511.286316,
1.220000,511.297608,
1.230000,511.308911,
1.240000,511.320226,
1.250000,511.331552,
1.260000,511.342889,
1.270000,511.354238,
1.280000,511.365598,
1.290000,511.376969,
1.300000,511.388352,
1.310000,511.399746,
1.320000,511.411152,
1.330000,511.422569,
1.340000,511.433997,
1.350000,511.445437,
1.360000,511.456888,
1.370000,511.468351,
1.380000,511.479825,
1.390000,511.491311,
1.400000,511.502808,
1.410000,511.514317,
1.420000,511.525837,
1.430000,511.537369,
1.440000,511.548912,
1.450000,511.560467,
1.460000,511.572033,
1.470000,511.583611,
1.480000,511.595201,
1.490000,511.606802,
1.500000,511.618415,
1.510000,511.630039,
1.520000,511.641675,
1.530000,511.653323,
1.540000,511.664982,
1.550000,511.676653,
1.560000,511.688336,
1.570000,511.700030,
1.580000,511.711736,
1.590000,511.723454,
1.600000,511.735183,
1.610000,511.746924,
1.620000,511.758677,
1.630000,511.770442,
1.640000,511.782218,
1.650000,511.794007,
1.660000,511.805807,
1.670000,511.817618,
1.680000,511.829442,
1.690000,511.841277,
1.700000,511.853125,
1.710000,511.864984,
1.720000,511.876855,
1.730000,511.888738,
1.740000,511.900632,
1.750000,511.912539,
1.760000,511.924458,
1.770000,511.936388,
1.780000,511.948330,
1.790000,511.960285,
1.800000,511.972251,
1.810000,511.984229,
1.820000,511.996219,
1.830000,512.008221,
1.840000,512.020236,
1.850000,512.032262,
1.860000,512.044300,
1.870000,512.056350,
1.880000,512.068413,
1.890000,512.080487,
1.900000,512.092574,
1.910000,512.104672,
1.920000,512.116783,
1.930000,512.128906,
1.940000,512.141041,
1.950000,512.153189,
1.960000,512.165348,
1.970000,512.177520,
1.980000,512.189703,
1.990000,512.201899,
2.000000,512.214108,
2.010000,512.226328,
2.020000,512.238561,
2.030000,512.250806,
2.040000,512.263063,
2.050000,512.275332,
2.060000,512.287614,
2.070000,512.299908,
2.080000,512.312215,
2.090000,512.324534,
2.100000,512.336865,
2.110000,512.349208,
2.120000,512.361564,
2.130000,512.373932,
2.140000,512.386313,
2.150000,512.398706,
2.160000,512.411111,
2.170000,512.423529,
2.180000,512.435959,
